term,new_term,file
"origins","edge connector","/app/src/content/docs/pt-br/pages/changelog/anos-passados/anos-passados-changelog.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/arquiteturas/edge-application/serverless-apps.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/arquiteturas/edge-application/application-modernization.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/store-jornada/storage/usar-bucket-como-origem.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/guias/marketplace/integrations/ab-testing-marketplace.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/guias/marketplace/templates/wordpress-edgeaccelerator.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/guias/marketplace/templates/bot-starter-kit.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/guias/marketplace/templates/dynamic-and-static-file-optimization.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/guias/marketplace/templates/azion-starter-kit.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/guias/marketplace/templates/image-optimization.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/guias/marketplace/templates/static-cache.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/guias/marketplace/templates/videoteca-static-cache.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/guias/marketplace/templates/edge-application-proxy.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/guias/edge-application/ea-customize-error-responses.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/guias/edge-application/ea-configure-ports/custom-ports.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/guias/edge-storage/use-bucket-as-origin/index.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/devtools/terraform/terraform.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/devtools/azion-lib/usage/application.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/devtools/cli/azion-cli/configs/azion-config-js.mdx"
"origins","edge connector","/app/src/content/docs/pt-br/pages/devtools/cli/azion-cli/comandos/describe/describe.mdx"
